id,url,name,tags,description,license,duration,previews
220871,https://freesound.org/people/funkymuskrat/sounds/220871/,Third Bird Synth 04,"['synthetic', 'unnatural', 'resonant', 'tweeting', 'tweet', 'bird', 'chirp', 'birds', 'synth', 'throat', 'howl', 'model', 'chirping', 'fauna', 'birdsong']",Alien birds warbling.,http://creativecommons.org/publicdomain/zero/1.0/,192.0,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/220/220871_32926-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/220/220871_32926-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/220/220871_32926-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/220/220871_32926-lq.ogg'}"
220873,https://freesound.org/people/funkymuskrat/sounds/220873/,Third Bird Synth 02,"['synthetic', 'unnatural', 'resonant', 'tweeting', 'tweet', 'bird', 'chirp', 'birds', 'synth', 'throat', 'howl', 'model', 'chirping', 'fauna', 'birdsong']",Alien birds warbling.,http://creativecommons.org/publicdomain/zero/1.0/,32.503,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/220/220873_32926-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/220/220873_32926-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/220/220873_32926-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/220/220873_32926-lq.ogg'}"
438258,https://freesound.org/people/craigsmith/sounds/438258/,G21-04-Whistling Birds.wav,"['Vintage', 'Optical', 'Animals', 'Birds']","Variety of melodic bird whistles and calls, high pitched and rapid. Akin to a Meadowlark.",http://creativecommons.org/publicdomain/zero/1.0/,60.085,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/438/438258_2524442-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/438/438258_2524442-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/438/438258_2524442-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/438/438258_2524442-lq.ogg'}"
220875,https://freesound.org/people/funkymuskrat/sounds/220875/,Third Bird Synth 05,"['synthetic', 'unnatural', 'resonant', 'tweeting', 'tweet', 'bird', 'chirp', 'birds', 'synth', 'throat', 'howl', 'model', 'chirping', 'fauna', 'birdsong']",Alien birds warbling.,http://creativecommons.org/publicdomain/zero/1.0/,105.013,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/220/220875_32926-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/220/220875_32926-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/220/220875_32926-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/220/220875_32926-lq.ogg'}"
113595,https://freesound.org/people/ayamahambho/sounds/113595/,birds1-thriller-3o.flac,"['birds', 'effects', 'field-recording', 'nature', 'texture', 'thriller']","another bird species (sorry I'm not ornithologist; some 'apple eaters'), recorded in Poland. this is the 3rd octave down-shift. while in reference octave it sounds normal, next shifts in octaves uncover really scary sounds and textures, like godzilla or some dinosaurs. can be used as a texture or for SFX exploration. recording taken with zoom H2.",https://creativecommons.org/licenses/by/4.0/,1603.7,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/113/113595_1995883-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/113/113595_1995883-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/113/113595_1995883-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/113/113595_1995883-lq.ogg'}"
113593,https://freesound.org/people/ayamahambho/sounds/113593/,birds1-thriller-1o.flac,"['birds', 'effects', 'field-recording', 'nature', 'texture', 'thriller']","another bird species (sorry I'm not ornithologist; some 'apple eaters'), recorded in Poland. this is the 1st octave down-shift. while in reference octave it sounds normal, next shifts in octaves uncover really scary sounds and textures, like godzilla or some dinosaurs. recording taken with zoom H2.",https://creativecommons.org/licenses/by/4.0/,400.925,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/113/113593_1995883-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/113/113593_1995883-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/113/113593_1995883-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/113/113593_1995883-lq.ogg'}"
220874,https://freesound.org/people/funkymuskrat/sounds/220874/,Third Bird Synth 01,"['synthetic', 'unnatural', 'resonant', 'tweeting', 'tweet', 'bird', 'chirp', 'birds', 'synth', 'throat', 'howl', 'model', 'chirping', 'fauna', 'birdsong']",Alien birds warbling.,http://creativecommons.org/publicdomain/zero/1.0/,36.2255,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/220/220874_32926-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/220/220874_32926-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/220/220874_32926-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/220/220874_32926-lq.ogg'}"
113167,https://freesound.org/people/ayamahambho/sounds/113167/,birds1-4o.flac,"['birds', 'field-recording', 'nature', 'processed', 'texture']","This is a remix from my ""birds1-0o.flac"" available in birds-kindergarden pack. Sound has been pitch/tempo shifted by 4 octaves down (1 octave = 2 times; by changing the sound 1 octave down, you get 2x slower tempo and 2x lower pitch) and a touched little bit by EQ to make the sound clearer and more natural. Can be used as a sonic texture or a special effect or for educational purposes - to uncover the unheard world, that emerges when you change your octave of hearing.",https://creativecommons.org/licenses/by/4.0/,1487.67,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/113/113167_1995883-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/113/113167_1995883-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/113/113167_1995883-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/113/113167_1995883-lq.ogg'}"
113592,https://freesound.org/people/ayamahambho/sounds/113592/,birds1-thriller-0o.flac,"['birds', 'field-recording', 'nature']","another bird species (sorry I'm not ornithologist; some 'apple eaters'), recorded in Poland. this is the reference octave. while it sounds normal, next shifts in octaves uncover really scary sounds and textures, like godzilla or some dinosaurs. recording taken with zoom H2.",https://creativecommons.org/licenses/by/4.0/,200.463,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/113/113592_1995883-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/113/113592_1995883-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/113/113592_1995883-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/113/113592_1995883-lq.ogg'}"
113594,https://freesound.org/people/ayamahambho/sounds/113594/,birds1-thriller-2o.flac,"['birds', 'effects', 'field-recording', 'nature', 'texture', 'thriller']","another bird species (sorry I'm not ornithologist; some 'apple eaters'), recorded in Poland. this is the 2nd octave down-shift. while in reference octave it sounds normal, next shifts in octaves uncover really scary sounds and textures, like godzilla or some dinosaurs. can be used as a texture or for SFX exploration. recording taken with zoom H2.",https://creativecommons.org/licenses/by/4.0/,801.85,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/113/113594_1995883-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/113/113594_1995883-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/113/113594_1995883-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/113/113594_1995883-lq.ogg'}"
