id,url,name,tags,description,license,duration,previews
180929,https://freesound.org/people/toonothing/sounds/180929/,Crowd Noise,"['noise', 'crowd', 'people', 'talking', 'party', 'sounds']",This was recorded at a wedding and celebration party afterward. Several hundred people talking in a very large room. It should be random enough to be used for most any situation where one needs ambient crowd noise. This was recorded directly from the on board mic of a full hd camera that uses Acvhd. What you are listening to was rendered off at 48hz and 16 bits.   ,http://creativecommons.org/publicdomain/zero/1.0/,64.5645,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/180/180929_1512122-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/180/180929_1512122-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/180/180929_1512122-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/180/180929_1512122-lq.ogg'}"
180930,https://freesound.org/people/toonothing/sounds/180930/,Crowd Noise 4 ,"['noise', 'crowd', 'people', 'talking', 'party', 'sounds']",This was recorded at a wedding and celebration party afterward. Several hundred people talking in a very large room. The one is of with the cutting of the cake. It should be random enough to be used for most any situation where one needs ambient crowd noise. This was recorded directly from the on board mic of a full hd camera that uses Acvhd. What you are listening to was rendered off at 48hz and 16 bits.   ,http://creativecommons.org/publicdomain/zero/1.0/,36.036,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/180/180930_1512122-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/180/180930_1512122-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/180/180930_1512122-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/180/180930_1512122-lq.ogg'}"
180927,https://freesound.org/people/toonothing/sounds/180927/,Crowd Noise 1,"['talking', 'sounds', 'noise', 'crowd', 'people']",This was recorded at a wedding and celebration party afterward. Several hundred people talking in a very large room. It should be random enough to be used for most any situation where one needs ambient crowd noise. This was recorded directly from the on board mic of a full hd camera that uses Acvhd. What you are listening to was rendered off at 48hz and 16 bits.   ,http://creativecommons.org/publicdomain/zero/1.0/,48.048,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/180/180927_1512122-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/180/180927_1512122-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/180/180927_1512122-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/180/180927_1512122-lq.ogg'}"
180928,https://freesound.org/people/toonothing/sounds/180928/,Crowd Noise 2 ,"['noise', 'crowd', 'people', 'talking', 'party', 'sounds']",This was recorded at a wedding and celebration party afterward. Several hundred people talking in a very large room. It should be random enough to be used for most any situation where one needs ambient crowd noise. This was recorded directly from the on board mic of a full hd camera that uses Acvhd. What you are listening to was rendered off at 48hz and 16 bits.   ,http://creativecommons.org/publicdomain/zero/1.0/,45.5455,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/180/180928_1512122-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/180/180928_1512122-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/180/180928_1512122-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/180/180928_1512122-lq.ogg'}"
100840,https://freesound.org/people/lonemonk/sounds/100840/,Approx 5000-Crowd Noise.wav,"['ambiance', 'audience', 'casino', 'crowd', 'field-recording', 'gonzo', 'hotel', 'intermission', 'large-crowd', 'las-vegas', 'mandalay-bay', 'noise', 'public-chatter', 'raoul-duke', 'vegas']","June 23, 2010 - Hewlett Packard Conference. Gear: Zoom H2 w/Sony ECM-719 Stereo Microphone. Crowd gathering to see conference headline act (Roger Daltry). This is approximately 5000 attendees gathered inside the entrance to the stadium @ Mandalay Bay Hotel and Casino, Las Vegas.",http://creativecommons.org/licenses/by/3.0/,208.422,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/100/100840_230160-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/100/100840_230160-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/100/100840_230160-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/100/100840_230160-lq.ogg'}"
102411,https://freesound.org/people/jakobthiesen/sounds/102411/,Toronto Island Ferry Crowd and Engine Noise.WAV,"['boat', 'crowd', 'engine', 'ferry', 'island', 'noise', 'toronto']","Toronto Island Ferry Boat Crowd and Engine Noise
recorded on a Sony PCM D50 24 bit 96 khz in XY pattern

(on the way to Ward's Island)",http://creativecommons.org/licenses/by/3.0/,98.624,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/102/102411_213393-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/102/102411_213393-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/102/102411_213393-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/102/102411_213393-lq.ogg'}"
180938,https://freesound.org/people/toonothing/sounds/180938/,Wedding Cutting the Cake Utensils on Glasses,"['talking', 'noise', 'crowd', 'people']",This was recorded at a wedding and celebration party afterward. Utensils hitting on glass and the cheer. Several hundred people talking in a very large room. The one is of with the cutting of the cake. It should be random enough to be used for most any situation where one needs ambient crowd noise. This was recorded directly from the on board mic of a full hd camera that uses Acvhd. What you are listening to was rendered off at 48hz and 16 bits.   ,http://creativecommons.org/publicdomain/zero/1.0/,90.09,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/180/180938_1512122-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/180/180938_1512122-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/180/180938_1512122-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/180/180938_1512122-lq.ogg'}"
607315,https://freesound.org/people/szegvari/sounds/607315/,Club Live Concert DJ DeeJay EDM Peoples Crowd Chats Party Techno House Music Atmo Atmosphere Reverb Noise Hall.wav,"['DJ', 'Movie', 'DeeJay', 'Live', 'Music', 'Peoples', 'Ambience', 'Party', 'Chats', 'Matered', 'Club', 'Big', 'Cinematic', 'Atmo', 'Hall', 'Techno', 'Large', 'Noise', 'Night', 'Reverb', 'Atmosphere', 'Concert', 'Crowd', 'House', 'EDM', 'Film']","Club Live Concert DJ DeeJay EDM Peoples Crowd Chats Party Techno House Music Atmo Atmosphere Reverb Noise Hall

I transformed my own music into a party atmosphere with people, noise, reverb.",http://creativecommons.org/publicdomain/zero/1.0/,92.1334,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/607/607315_2282212-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/607/607315_2282212-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/607/607315_2282212-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/607/607315_2282212-lq.ogg'}"
435515,https://freesound.org/people/Ev-Dawg/sounds/435515/,Art Gallery Crowd Noise,"['art', 'crowd', 'show', 'indoor', 'voices', 'talking', 'talks', 'mingle', 'open', 'busy', 'showcase', 'people', 'gallery', 'ambience', 'new', 'shows', 'noise', 'opening', 'showing', 'mingling', 'hall', 'room', 'large', 'conversation', 'drone', 'voice', 'loud', 'talk']",Drone of large crowd noise at an art gallery opening.,http://creativecommons.org/publicdomain/zero/1.0/,128.877,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/435/435515_1772601-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/435/435515_1772601-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/435/435515_1772601-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/435/435515_1772601-lq.ogg'}"
713539,https://freesound.org/people/tnturner/sounds/713539/,Crowd Noise,"['talking', 'city', 'social-gathering', 'bar', 'murmer', 'crowd-noise', 'group', 'Restaurant', 'Crowd', 'crowd', 'ambience', 'restaurant-noise', 'social', 'people', 'gathering', 'noise', 'ambient']","One and a half minutes of ambient crowd noise in a bar, restaurant, or large social gathering. Let me know if you like it. Enjoy!",http://creativecommons.org/publicdomain/zero/1.0/,90.1547,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/713/713539_6972315-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/713/713539_6972315-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/713/713539_6972315-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/713/713539_6972315-lq.ogg'}"
