id,url,name,tags,description,license,duration,previews
756549,https://freesound.org/people/Hewn.Marrow/sounds/756549/,Shimmer Guitar _ Vaults Beta 0001 (130 BPM) (FX 001 v004),"['Spacious-Guitar', 'Guitar-Synth', 'Guitar-Riff', 'Guitar', 'Riff', 'Spacious']","Using Vaults Beta, Shimmer Guitar virtual instrument in FL Studio I created a simple riff and then saved 21 versions of the same riff, starting at 100 BPM with each subsequent track being 5 BPM faster than the previous. From 100 BPM to 200 BPM.

Each of those 21 versions have a ""clean"" version which has no additional effects (save for compression).

From there I then created different combinations of effects and then saved each track.

Please feel free to use this in anything that you may create. I only ask that you cite me as the original creator of the sound. To cite me please just make a link to the following site: <a href=""https://freesound.org/people/Hewn.Marrow/"" rel=""nofollow"">https://freesound.org/people/Hewn.Marrow/</a>.

These samples are not to be used for any royalty free and/or stock material.

Thank you and enjoy,
Hew.",https://creativecommons.org/licenses/by/4.0/,12.8702,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/756/756549_12333864-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/756/756549_12333864-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/756/756549_12333864-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/756/756549_12333864-lq.ogg'}"
756591,https://freesound.org/people/Hewn.Marrow/sounds/756591/,Shimmer Guitar _ Vaults Beta 0001 (150 BPM) (FX 001 v002),"['Spacious', 'Spacious-Guitar', 'Guitar-Riff', 'Riff', 'Guitar', 'Guitar-Synth']","Using Vaults Beta, Shimmer Guitar virtual instrument in FL Studio I created a simple riff and then saved 21 versions of the same riff, starting at 100 BPM with each subsequent track being 5 BPM faster than the previous. From 100 BPM to 200 BPM.

Each of those 21 versions have a ""clean"" version which has no additional effects (save for compression).

From there I then created different combinations of effects and then saved each track.

Please feel free to use this in anything that you may create. I only ask that you cite me as the original creator of the sound. To cite me please just make a link to the following site: <a href=""https://freesound.org/people/Hewn.Marrow/"" rel=""nofollow"">https://freesound.org/people/Hewn.Marrow/</a>.

These samples are not to be used for any royalty free and/or stock material.

Thank you and enjoy,
Hew.",https://creativecommons.org/licenses/by/4.0/,12.0208,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/756/756591_12333864-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/756/756591_12333864-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/756/756591_12333864-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/756/756591_12333864-lq.ogg'}"
756649,https://freesound.org/people/Hewn.Marrow/sounds/756649/,Shimmer Guitar _ Vaults Beta 0001 (175 BPM) (FX 001 v004),"['Guitar-Synth', 'Guitar', 'Spacious-Guitar', 'Riff', 'Guitar-Riff', 'Spacious']","Using Vaults Beta, Shimmer Guitar virtual instrument in FL Studio I created a simple riff and then saved 21 versions of the same riff, starting at 100 BPM with each subsequent track being 5 BPM faster than the previous. From 100 BPM to 200 BPM.

Each of those 21 versions have a ""clean"" version which has no additional effects (save for compression).

From there I then created different combinations of effects and then saved each track.

Please feel free to use this in anything that you may create. I only ask that you cite me as the original creator of the sound. To cite me please just make a link to the following site: <a href=""https://freesound.org/people/Hewn.Marrow/"" rel=""nofollow"">https://freesound.org/people/Hewn.Marrow/</a>.

These samples are not to be used for any royalty free and/or stock material.

Thank you and enjoy,
Hew.",https://creativecommons.org/licenses/by/4.0/,11.7107,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/756/756649_12333864-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/756/756649_12333864-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/756/756649_12333864-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/756/756649_12333864-lq.ogg'}"
756667,https://freesound.org/people/Hewn.Marrow/sounds/756667/,Shimmer Guitar _ Vaults Beta 0001 (180 BPM) (FX 001),"['Spacious', 'Spacious-Guitar', 'Guitar-Riff', 'Riff', 'Guitar', 'Guitar-Synth']","Using Vaults Beta, Shimmer Guitar virtual instrument in FL Studio I created a simple riff and then saved 21 versions of the same riff, starting at 100 BPM with each subsequent track being 5 BPM faster than the previous. From 100 BPM to 200 BPM.

Each of those 21 versions have a ""clean"" version which has no additional effects (save for compression).

From there I then created different combinations of effects and then saved each track.

Please feel free to use this in anything that you may create. I only ask that you cite me as the original creator of the sound. To cite me please just make a link to the following site: <a href=""https://freesound.org/people/Hewn.Marrow/"" rel=""nofollow"">https://freesound.org/people/Hewn.Marrow/</a>.

These samples are not to be used for any royalty free and/or stock material.

Thank you and enjoy,
Hew.",https://creativecommons.org/licenses/by/4.0/,12.7778,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/756/756667_12333864-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/756/756667_12333864-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/756/756667_12333864-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/756/756667_12333864-lq.ogg'}"
756522,https://freesound.org/people/Hewn.Marrow/sounds/756522/,Shimmer Guitar _ Vaults Beta 0001 (115 BPM) (FX 001),"['Spacious', 'Guitar-Riff', 'Riff', 'Guitar-Synth', 'Guitar', 'Spacious-Guitar']","Using Vaults Beta, Shimmer Guitar virtual instrument in FL Studio I created a simple riff and then saved 21 versions of the same riff, starting at 100 BPM with each subsequent track being 5 BPM faster than the previous. From 100 BPM to 200 BPM.

Each of those 21 versions have a ""clean"" version which has no additional effects (save for compression).

From there I then created different combinations of effects and then saved each track.

Please feel free to use this in anything that you may create. I only ask that you cite me as the original creator of the sound. To cite me please just make a link to the following site: <a href=""https://freesound.org/people/Hewn.Marrow/"" rel=""nofollow"">https://freesound.org/people/Hewn.Marrow/</a>.

These samples are not to be used for any royalty free and/or stock material.

Thank you and enjoy,
Hew.",https://creativecommons.org/licenses/by/4.0/,14.0326,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/756/756522_12333864-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/756/756522_12333864-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/756/756522_12333864-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/756/756522_12333864-lq.ogg'}"
756598,https://freesound.org/people/Hewn.Marrow/sounds/756598/,Shimmer Guitar _ Vaults Beta 0001 (150 BPM) (FX 001 v009),"['Spacious', 'Spacious-Guitar', 'Guitar-Riff', 'Riff', 'Guitar', 'Guitar-Synth']","Using Vaults Beta, Shimmer Guitar virtual instrument in FL Studio I created a simple riff and then saved 21 versions of the same riff, starting at 100 BPM with each subsequent track being 5 BPM faster than the previous. From 100 BPM to 200 BPM.

Each of those 21 versions have a ""clean"" version which has no additional effects (save for compression).

From there I then created different combinations of effects and then saved each track.

Please feel free to use this in anything that you may create. I only ask that you cite me as the original creator of the sound. To cite me please just make a link to the following site: <a href=""https://freesound.org/people/Hewn.Marrow/"" rel=""nofollow"">https://freesound.org/people/Hewn.Marrow/</a>.

These samples are not to be used for any royalty free and/or stock material.

Thank you and enjoy,
Hew.",https://creativecommons.org/licenses/by/4.0/,14.1167,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/756/756598_12333864-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/756/756598_12333864-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/756/756598_12333864-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/756/756598_12333864-lq.ogg'}"
756613,https://freesound.org/people/Hewn.Marrow/sounds/756613/,Shimmer Guitar _ Vaults Beta 0001 (160 BPM) (FX 001 v002),"['Guitar-Synth', 'Spacious', 'Spacious-Guitar', 'Guitar-Riff', 'Guitar', 'Riff']","Using Vaults Beta, Shimmer Guitar virtual instrument in FL Studio I created a simple riff and then saved 21 versions of the same riff, starting at 100 BPM with each subsequent track being 5 BPM faster than the previous. From 100 BPM to 200 BPM.

Each of those 21 versions have a ""clean"" version which has no additional effects (save for compression).

From there I then created different combinations of effects and then saved each track.

Please feel free to use this in anything that you may create. I only ask that you cite me as the original creator of the sound. To cite me please just make a link to the following site: <a href=""https://freesound.org/people/Hewn.Marrow/"" rel=""nofollow"">https://freesound.org/people/Hewn.Marrow/</a>.

These samples are not to be used for any royalty free and/or stock material.

Thank you and enjoy,
Hew.",https://creativecommons.org/licenses/by/4.0/,12.5,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/756/756613_12333864-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/756/756613_12333864-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/756/756613_12333864-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/756/756613_12333864-lq.ogg'}"
756516,https://freesound.org/people/Hewn.Marrow/sounds/756516/,Shimmer Guitar _ Vaults Beta 0001 (115 BPM) (FX 001 v005),"['Spacious', 'Riff', 'Spacious-Guitar', 'Guitar-Riff', 'Guitar-Synth', 'Guitar']","Using Vaults Beta, Shimmer Guitar virtual instrument in FL Studio I created a simple riff and then saved 21 versions of the same riff, starting at 100 BPM with each subsequent track being 5 BPM faster than the previous. From 100 BPM to 200 BPM.

Each of those 21 versions have a ""clean"" version which has no additional effects (save for compression).

From there I then created different combinations of effects and then saved each track.

Please feel free to use this in anything that you may create. I only ask that you cite me as the original creator of the sound. To cite me please just make a link to the following site: <a href=""https://freesound.org/people/Hewn.Marrow/"" rel=""nofollow"">https://freesound.org/people/Hewn.Marrow/</a>.

These samples are not to be used for any royalty free and/or stock material.

Thank you and enjoy,
Hew.",https://creativecommons.org/licenses/by/4.0/,40.087,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/756/756516_12333864-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/756/756516_12333864-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/756/756516_12333864-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/756/756516_12333864-lq.ogg'}"
756521,https://freesound.org/people/Hewn.Marrow/sounds/756521/,Shimmer Guitar _ Vaults Beta 0001 (115 BPM) (FX 001 v010),"['Spacious', 'Guitar-Riff', 'Riff', 'Guitar-Synth', 'Guitar', 'Spacious-Guitar']","Using Vaults Beta, Shimmer Guitar virtual instrument in FL Studio I created a simple riff and then saved 21 versions of the same riff, starting at 100 BPM with each subsequent track being 5 BPM faster than the previous. From 100 BPM to 200 BPM.

Each of those 21 versions have a ""clean"" version which has no additional effects (save for compression).

From there I then created different combinations of effects and then saved each track.

Please feel free to use this in anything that you may create. I only ask that you cite me as the original creator of the sound. To cite me please just make a link to the following site: <a href=""https://freesound.org/people/Hewn.Marrow/"" rel=""nofollow"">https://freesound.org/people/Hewn.Marrow/</a>.

These samples are not to be used for any royalty free and/or stock material.

Thank you and enjoy,
Hew.",https://creativecommons.org/licenses/by/4.0/,13.9837,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/756/756521_12333864-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/756/756521_12333864-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/756/756521_12333864-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/756/756521_12333864-lq.ogg'}"
756508,https://freesound.org/people/Hewn.Marrow/sounds/756508/,Shimmer Guitar _ Vaults Beta 0001 (110 BPM) (FX 001 v008),"['Spacious-Guitar', 'Guitar-Synth', 'Guitar-Riff', 'Guitar', 'Riff', 'Spacious']","Using Vaults Beta, Shimmer Guitar virtual instrument in FL Studio I created a simple riff and then saved 21 versions of the same riff, starting at 100 BPM with each subsequent track being 5 BPM faster than the previous. From 100 BPM to 200 BPM.

Each of those 21 versions have a ""clean"" version which has no additional effects (save for compression).

From there I then created different combinations of effects and then saved each track.

Please feel free to use this in anything that you may create. I only ask that you cite me as the original creator of the sound. To cite me please just make a link to the following site: <a href=""https://freesound.org/people/Hewn.Marrow/"" rel=""nofollow"">https://freesound.org/people/Hewn.Marrow/</a>.

These samples are not to be used for any royalty free and/or stock material.

Thank you and enjoy,
Hew.",https://creativecommons.org/licenses/by/4.0/,14.0852,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/756/756508_12333864-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/756/756508_12333864-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/756/756508_12333864-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/756/756508_12333864-lq.ogg'}"
