id,url,name,tags,description,license,duration,previews
171168,https://freesound.org/people/Robinhood76/sounds/171168/,03814 male evil cackle laughter.wav,"['cackle', 'evil', 'dark', 'laugh', 'male', 'laughter']",Male dark type laughter,https://creativecommons.org/licenses/by-nc/4.0/,4.29719,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/171/171168_321967-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/171/171168_321967-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/171/171168_321967-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/171/171168_321967-lq.ogg'}"
84606,https://freesound.org/people/Robinhood76/sounds/84606/,01384 woman insane laughter 5.wav,"['cackle', 'derride', 'evil', 'insane', 'laugh', 'laughter', 'witch', 'woman']",Woman insane laughter recorded by AKG C414,https://creativecommons.org/licenses/by-nc/4.0/,3.69977,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/84/84606_321967-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/84/84606_321967-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/84/84606_321967-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/84/84606_321967-lq.ogg'}"
214504,https://freesound.org/people/Robinhood76/sounds/214504/,04751 bad guy male laughter.wav,"['insane', 'cackle', 'villain', 'evil', 'bad', 'laugh', 'guy', 'male', 'laughter', 'man']",Male evil laughter rec via Neumann TLM 103,https://creativecommons.org/licenses/by-nc/4.0/,3.22993,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/214/214504_321967-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/214/214504_321967-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/214/214504_321967-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/214/214504_321967-lq.ogg'}"
218869,https://freesound.org/people/Robinhood76/sounds/218869/,04840 mad man laughter - dry.wav,"['insane', 'cackle', 'evil', 'psychotic', 'villain', 'mad', 'laugh', 'male', 'laughter', 'laughing']",Insane male laughter - dry studio shot,https://creativecommons.org/licenses/by-nc/4.0/,3.2,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/218/218869_321967-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/218/218869_321967-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/218/218869_321967-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/218/218869_321967-lq.ogg'}"
132930,https://freesound.org/people/Robinhood76/sounds/132930/,03021 cartoon villain laughter.wav,"['bad', 'evil', 'villain', 'laughing', 'laugh', 'male', 'laughter', 'cartoon']",Bad cartoon man laughter,https://creativecommons.org/licenses/by-nc/4.0/,11.9728,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/132/132930_321967-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/132/132930_321967-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/132/132930_321967-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/132/132930_321967-lq.ogg'}"
98935,https://freesound.org/people/Robinhood76/sounds/98935/,01852 male laughter.wav,"['adult', 'laugh', 'laughter', 'male', 'man']",Male laughter rec by Neumann TLM 103,https://creativecommons.org/licenses/by-nc/4.0/,5.27002,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/98/98935_321967-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/98/98935_321967-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/98/98935_321967-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/98/98935_321967-lq.ogg'}"
61006,https://freesound.org/people/Robinhood76/sounds/61006/,00418 laughter male derride 1.wav,"['derride', 'fun', 'laugh', 'laughter', 'male']","Male laughter in deride style, something like laugh at someone's stupidity. Rec by AKG D80",https://creativecommons.org/licenses/by-nc/4.0/,5.36896,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/61/61006_321967-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/61/61006_321967-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/61/61006_321967-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/61/61006_321967-lq.ogg'}"
108251,https://freesound.org/people/Robinhood76/sounds/108251/,02098 cartoon laughter.wav,"['cartoon', 'fun', 'funny', 'laugh', 'laughter']",Typical cartoon laughter - pitched up,https://creativecommons.org/licenses/by-nc/4.0/,0.639184,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/108/108251_321967-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/108/108251_321967-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/108/108251_321967-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/108/108251_321967-lq.ogg'}"
88576,https://freesound.org/people/Robinhood76/sounds/88576/,01463 woman insane laughter 3.wav,"['evil', 'female', 'insane', 'laughter', 'woman', 'young']",Young woman insane laughter natural rec by Oktava mkl 2500,https://creativecommons.org/licenses/by-nc/4.0/,2.99685,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/88/88576_321967-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/88/88576_321967-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/88/88576_321967-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/88/88576_321967-lq.ogg'}"
558249,https://freesound.org/people/Gerent/sounds/558249/,laughter-male-modulated-wet-evil-throaty-sinister_029-030 030-046 042-100-1.wav,"['masculine', 'sinister', 'evil', 'villain', 'laughing', 'laugh', 'villainous', 'male', 'laughter', 'wicked', 'scary']","Male voice, laughter sounding sinister. Echo, reverb, and bit-crush applied. Sounds sharp and wet, kinda bubbly.",http://creativecommons.org/publicdomain/zero/1.0/,4.68492,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/558/558249_556505-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/558/558249_556505-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/558/558249_556505-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/558/558249_556505-lq.ogg'}"
65398,https://freesound.org/people/Robinhood76/sounds/65398/,00712 massive men and old man laughter.wav,"['laugh', 'laughter', 'man', 'massive', 'old']",massive men laugh with close old man laughter rec by Zoom H2,https://creativecommons.org/licenses/by-nc/4.0/,4.7366,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/65/65398_321967-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/65/65398_321967-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/65/65398_321967-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/65/65398_321967-lq.ogg'}"
205723,https://freesound.org/people/Robinhood76/sounds/205723/,10665 revenge male laughter.WAV,"['cackle', 'villain', 'revenge', 'deep', 'bad', 'evil', 'male', 'laughter', 'low']",Bad evil male laughters rec by Sonu PCM D50,https://creativecommons.org/licenses/by-nc/4.0/,4.16728,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/205/205723_321967-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/205/205723_321967-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/205/205723_321967-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/205/205723_321967-lq.ogg'}"
205724,https://freesound.org/people/Robinhood76/sounds/205724/,10664 evil amused male laughters.WAV,"['cackle', 'villain', 'revenge', 'deep', 'bad', 'evil', 'male', 'laughter', 'low']",Bad evil male laughters rec by Sonu PCM D50,https://creativecommons.org/licenses/by-nc/4.0/,7.31533,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/205/205724_321967-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/205/205724_321967-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/205/205724_321967-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/205/205724_321967-lq.ogg'}"
786073,https://freesound.org/people/amauri8BIT/sounds/786073/,Taunting Evil Laughter,"['laughing', 'horror', 'terror', 'laugh', 'ghostly', 'demonic', 'scary', 'evil', 'eerie', 'taunting', 'spooky', 'laughter', 'ghost']","Taunt the living with this spooky, evil and arrogant laughter... Created using pitch deepening effects... Performed by Super Amauri.",https://creativecommons.org/licenses/by/4.0/,3.93578,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/786/786073_11123204-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/786/786073_11123204-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/786/786073_11123204-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/786/786073_11123204-lq.ogg'}"
60976,https://freesound.org/people/Robinhood76/sounds/60976/,00417 laughter hehe synchro pretended.wav,"['funny', 'laughter', 'man', 'pretended']",three man pretend synchro laughter they do it in funny way. Rec by AKG D80,https://creativecommons.org/licenses/by-nc/4.0/,3.45141,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/60/60976_321967-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/60/60976_321967-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/60/60976_321967-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/60/60976_321967-lq.ogg'}"
