id,url,name,tags,description,license,duration,previews
747595,https://freesound.org/people/CoolSounds4000/sounds/747595/,rain sounds,"['sound', 'cool', 'Rain']","Rain sounds I recorded and made a little bit more louder 
Free to use",http://creativecommons.org/publicdomain/zero/1.0/,28.8856,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/747/747595_16182968-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/747/747595_16182968-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/747/747595_16182968-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/747/747595_16182968-lq.ogg'}"
507902,https://freesound.org/people/inuetc/sounds/507902/,Heavy Rain Sound - Inu Etc.mp3,"['heavy', 'raining', 'field-recording', 'nature', 'drip', 'rain', 'sleep', 'Rain', 'music']",Rain sound recorded by Inu Etc,http://creativecommons.org/publicdomain/zero/1.0/,54.049,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/507/507902_9004329-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/507/507902_9004329-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/507/507902_9004329-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/507/507902_9004329-lq.ogg'}"
698322,https://freesound.org/people/EllipsenPark/sounds/698322/,"The Sound of a Person Walking Through The Rain, According to an Umbrella","['heavy-rain', 'umbrella', 'field-recording', 'non-human', 'rain', 'binaural', 'weather']","What would a person walking through the rain sound like to an umbrella carried by that person? 

Recorded with an umbrella-shaped binaural microphone, loaded with Primo EM272Z1 capsules (see image below).

Recording date: 2023/08/03, around 18:00.

Image: <a href=""https://pixelfed.de/i/web/post/592760154749612069"" rel=""nofollow"">https://pixelfed.de/i/web/post/592760154749612069</a> 

(I couldn't take a picture as the microphone fell apart due to the moisture, so a drawing has to do.)",http://creativecommons.org/publicdomain/zero/1.0/,117.531,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/698/698322_5863633-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/698/698322_5863633-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/698/698322_5863633-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/698/698322_5863633-lq.ogg'}"
698287,https://freesound.org/people/EllipsenPark/sounds/698287/,"The Sound of the Beginning Rain, According to a Grassy Field","['grass', 'insects', 'field-recording', 'rain', 'nature', 'non-human', 'binaural']","What does the beginning rain (of which we had quite a lot of during PIFCamp 2023) sound like to a grassy field?

Recorded with leaf-shaped binaural (?) microphones, loaded with EM258 capsules (see image below).

Recording date: 2023/08/01, around 14:00

Image: <a href=""https://pixelfed.de/p/ellipsenpark/592688569615642362"" rel=""nofollow"">https://pixelfed.de/p/ellipsenpark/592688569615642362</a>",http://creativecommons.org/publicdomain/zero/1.0/,602.301,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/698/698287_5863633-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/698/698287_5863633-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/698/698287_5863633-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/698/698287_5863633-lq.ogg'}"
698311,https://freesound.org/people/EllipsenPark/sounds/698311/,"The Sound of Birds and Rain, According to a Grassy Field","['grass', 'birds', 'field-recording', 'non-human', 'rain', 'nature', 'binaural']","What would the birds, insects and rain sound like to a grassy field?

Recorded with a binaural microphone in the shape of a grassy field, loaded with Primo EM258 capsules (see image below).

Recording date: 2023/08/03, around 12:15

Image: <a href=""https://pixelfed.de/p/ellipsenpark/592715609586017699"" rel=""nofollow"">https://pixelfed.de/p/ellipsenpark/592715609586017699</a>",http://creativecommons.org/publicdomain/zero/1.0/,1503.52,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/698/698311_5863633-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/698/698311_5863633-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/698/698311_5863633-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/698/698311_5863633-lq.ogg'}"
162543,https://freesound.org/people/Ravishekhar/sounds/162543/,Rain sound.mp3,"['ground', 'Raining', 'hard', 'Rain', 'Pouring']","I like the sound of the rain. this heavy rain sound i recorded on my sony handycam.
i could not extract the sound,  because the software i am using to extract the file does not have wave option.
any comment or suggestion is welcome ! ",http://creativecommons.org/publicdomain/zero/1.0/,32.269,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/162/162543_2938883-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/162/162543_2938883-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/162/162543_2938883-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/162/162543_2938883-lq.ogg'}"
458441,https://freesound.org/people/shelbyshark/sounds/458441/,SirenRain.mp3,"['siren', 'police', 'rescue', 'emergency', 'fire', 'ambulance', '911']",Sound of a police or fire siren in the distance in the rain in a city,http://creativecommons.org/publicdomain/zero/1.0/,40.6001,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/458/458441_8644110-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/458/458441_8644110-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/458/458441_8644110-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/458/458441_8644110-lq.ogg'}"
521360,https://freesound.org/people/BurghRecords/sounds/521360/,Birds in Rain Sounds (Scotland).wav,"['Birds', 'field-recording', 'nature', 'spring', 'rain', 'morning', 'forest', 'ambient', 'ambience', 'birds', 'bird', 'birdsong']",Birds In Rain. bird sounds in light rain in Scotland. Make sure to credit us: BurghRecords,http://creativecommons.org/publicdomain/zero/1.0/,194.946,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/521/521360_7241289-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/521/521360_7241289-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/521/521360_7241289-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/521/521360_7241289-lq.ogg'}"
592484,https://freesound.org/people/Azrai93/sounds/592484/,Medium Rain In Ipoh City.mp3,"['raining', 'rainy', 'thunder', 'thunderstorm', 'rain', 'thunder-storm', 'shower', 'weather', 'storm', 'lightning']",Rain Sounds In Ipoh City from Perak State of Malaysia,http://creativecommons.org/publicdomain/zero/1.0/,60.565,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/592/592484_7900919-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/592/592484_7900919-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/592/592484_7900919-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/592/592484_7900919-lq.ogg'}"
189873,https://freesound.org/people/MacieYou/sounds/189873/,Rain_1.aif,"['noise', 'soft', 'field-recording', 'rain', 'city', 'atmosphere', 'ambiance', 'suburbs', 'background', 'ambient', 'ambience', 'soundscape', 'background-sound']","Soft rain with background noises
Recorded on Canon XF100 Camcorder with RODE NTG2 microphone


Feel free to PM me a link to your work that contains my sounds ;)",https://creativecommons.org/licenses/by/4.0/,145.85,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/189/189873_2594345-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/189/189873_2594345-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/189/189873_2594345-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/189/189873_2594345-lq.ogg'}"
336503,https://freesound.org/people/giddster/sounds/336503/,Autumn rain through drain pipe,"['Foley', 'atmosphere', 'field-recording', 'nature', 'rain', 'autumn', 'ambience']","This is a recording of Autumn rain falling down and pouring through a drain pipe outside my bedroom window. It is a very pleasant sound if I may say so, and can be used for many soundscape or atmosphere oriented things.

Recorded with Zoom H1.",http://creativecommons.org/publicdomain/zero/1.0/,40.1154,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/336/336503_1738686-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/336/336503_1738686-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/336/336503_1738686-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/336/336503_1738686-lq.ogg'}"
592485,https://freesound.org/people/Azrai93/sounds/592485/,Light Rain In Ipoh City.mp3,"['raining', 'field-recording', 'nature', 'thunder', 'rain', 'water', 'weather', 'storm', 'wind']",Rain Sounds In Ipoh City from Perak State of Malaysia,http://creativecommons.org/publicdomain/zero/1.0/,329.965,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/592/592485_7900919-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/592/592485_7900919-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/592/592485_7900919-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/592/592485_7900919-lq.ogg'}"
474598,https://freesound.org/people/TheGloomWorker/sounds/474598/,Rain Wind and Windchimes.mp3,"['summer', 'windchimes', 'storm', 'Rain']","No credit or attribution EVER required.

Truly free sounds with NO strings of any type attached, are almost impossible to find. 

Use...enjoy...!

Recorded during a summer rain storm out on my back patio.",http://creativecommons.org/publicdomain/zero/1.0/,62.3162,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/474/474598_10086928-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/474/474598_10086928-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/474/474598_10086928-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/474/474598_10086928-lq.ogg'}"
515839,https://freesound.org/people/vincefred/sounds/515839/,Rain_03 (wav-24bit-96khz),"['city', 'raining', 'field-recording', 'nature', 'thunder', 'zoom', 'rain', 'lightning', 'h2n', 'storm', 'ambient', 'weather']","Ambient sound of rain and thunder out of a Berlin window.
Crediting is not necessary but appreciated.
Recorded with a Zoom H2n.
24 bit &amp; 96 kHz Waveform-Audio file (.wav)",http://creativecommons.org/publicdomain/zero/1.0/,114.974,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/515/515839_4575464-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/515/515839_4575464-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/515/515839_4575464-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/515/515839_4575464-lq.ogg'}"
592344,https://freesound.org/people/supersnd/sounds/592344/,Rain closed window,"['closed-window', 'raining', 'drop', 'drip', 'rain', 'dripping', 'water', 'window', 'weather', 'raindrops', 'drops']",Sound of rain from the perspective of a closed window.,http://creativecommons.org/publicdomain/zero/1.0/,23.3918,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/592/592344_3877322-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/592/592344_3877322-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/592/592344_3877322-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/592/592344_3877322-lq.ogg'}"
592345,https://freesound.org/people/supersnd/sounds/592345/,Rain balcony window perspective,"['raining', 'dripping', 'rain', 'drip', 'water', 'window', 'weather', 'wet', 'drips', 'raindrops', 'drops', 'balcony']",Sound of rain from the perspective of a window looking towards the balcony.,http://creativecommons.org/publicdomain/zero/1.0/,36.7183,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/592/592345_3877322-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/592/592345_3877322-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/592/592345_3877322-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/592/592345_3877322-lq.ogg'}"
515806,https://freesound.org/people/vincefred/sounds/515806/,Rain_01 (wav-24bit-96khz),"['raining', 'field-recording', 'nature', 'thunder', 'zoom', 'rain', 'lightning', 'weather', 'storm', 'ambient', 'city', 'h2n']","Ambient sound of rain out of a Berlin window.
Crediting is not necessary but appreciated.
Recorded with a Zoom H2n.
24 bit/96 kHz Waveform-Audio file (.wav)",http://creativecommons.org/publicdomain/zero/1.0/,137.129,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/515/515806_4575464-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/515/515806_4575464-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/515/515806_4575464-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/515/515806_4575464-lq.ogg'}"
