id,url,name,tags,description,license,duration,previews
353152,https://freesound.org/people/BuytheField/sounds/353152/,Lapland Spring.wav,"['atmosphere', 'nature', 'thunder', 'synth', 'rain', 'field-recordings', 'instrumental', 'synthesizer', 'Thornhilltro', 'pad', 'ambient', 'YleArkisto', 'sounds', 'soundscape', 'ERH', 'birds', 'birdsong']","Nature sounds of thunderstorm, sun coming out, birdsong and synthesizer, made in Music Maker daw with these wonderful freesound samples:
YleArkisto/sounds/243014   Field-recording of birds in Lapland
Thornhilltro/sounds/242925  Field-recording of thunderstorm in UK
ERH/sounds/42369
ERH/sounds/38680
ERH/sounds/38544
ERH/sounds/38681
ERH/sounds/42285
ERH/sounds/42286",https://creativecommons.org/licenses/by-nc/4.0/,353.907,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/353/353152_4438873-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/353/353152_4438873-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/353/353152_4438873-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/353/353152_4438873-lq.ogg'}"
138144,https://freesound.org/people/2school4kool/sounds/138144/,battlescene.wav,"['sound', 'raining', 'siren', '2school4kool', 'thunder', 'gun', 'long', 'war', 'strike', 'airstrike', 'rain', 'background', 'night', 'Battle', 'sounds', 'air', 'guns', 'day', 'high', 'quality', 'bomb', 'kill', 'shooting', 'death', 'fight', 'storm', 'shoot', 'screaming', 'die']","Please comment and rate!

  I used Audacity to put this together for a school project. I did use other sounds from this site and I will give credit where credit is due. This piece is a little lengthy and the last minute to minute and a half are not really needed, just for a transition. 

    -Thunderstorm: RHumphries at <a href=""http://www.freesound.org/people/RHumphries/sounds/2523/"" rel=""nofollow"">http://www.freesound.org/people/RHumphries/sounds/2523/</a>

    -alarm warning: guitarguy1985 at <a href=""http://www.freesound.org/people/guitarguy1985/sounds/59864/"" rel=""nofollow"">http://www.freesound.org/people/guitarguy1985/sounds/59864/</a>

    -shooting(1): alienbomb at <a href=""http://www.freesound.org/people/alienbomb/sounds/39065/"" rel=""nofollow"">http://www.freesound.org/people/alienbomb/sounds/39065/</a>

    -shooting(2): Omar Alvarado at <a href=""http://www.freesound.org/people/Omar%20Alvarado/sounds/96533/"" rel=""nofollow"">http://www.freesound.org/people/Omar%20Alvarado/sounds/96533/</a>

    -shooting(3): cam.dudes at <a href=""http://www.freesound.org/people/cam.dudes/sounds/113360/"" rel=""nofollow"">http://www.freesound.org/people/cam.dudes/sounds/113360/</a>

    -Airplane: Bram at <a href=""http://www.freesound.org/people/Bram/sounds/11687/"" rel=""nofollow"">http://www.freesound.org/people/Bram/sounds/11687/</a>

    -airstrike explosion: Omar Alvarado at <a href=""http://www.freesound.org/people/Omar%20Alvarado/sounds/93741/"" rel=""nofollow"">http://www.freesound.org/people/Omar%20Alvarado/sounds/93741/</a>

    -Editing program: Audacity at <a href=""http://web.audacityteam.org/"" rel=""nofollow"">http://web.audacityteam.org/</a>


I would like to give thanks for all the people who uploaded their great sounds, I hope people find my battlefield sounds useful in many ways.

Special thanks to: RHumphries, guitarguy1985, alienbomb, Bram, cam.dudes and Omar Alvarado especially.
Please message me if you are to use this in a video or presentation. Thanks

-2school4kool ",http://creativecommons.org/publicdomain/zero/1.0/,203.196,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/138/138144_2528431-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/138/138144_2528431-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/138/138144_2528431-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/138/138144_2528431-lq.ogg'}"
500804,https://freesound.org/people/khenshom/sounds/500804/,"Rainy day in Tel Aviv, Israel - street sounds","['city', 'rainy', 'outdoor', 'tone', 'winter', 'people', 'light', 'rain', 'water', 'ambience', 'street', 'traffic', 'daytime', 'cars', 'cement', 'thunder', 'sounds', 'drops', 'day', 'road', 'room']","Rainy day in the city of Tel Aviv, Israel. Some rain outside with light traffic and people. Recorded from a third-floor window during daytime. Recorded with Zoom H5 with its built-in stereo XY mics.",http://creativecommons.org/publicdomain/zero/1.0/,213.508,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/500/500804_6652872-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/500/500804_6652872-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/500/500804_6652872-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/500/500804_6652872-lq.ogg'}"
240558,https://freesound.org/people/emersonfd/sounds/240558/,thunderstorm - close lightning strike.mp3,"['raining', 'field-recording', 'nature', 'thunder', 'water', 'thunderstorm', 'rain', 'lightning', 'shower', 'rolling-thunder', 'weather', 'sleep', 'drip', 'storm', 'ambient', 'sounds', 'thunder-storm']","relaxing thunderstorm in my area in burleson,texas/usa on may 2014",http://creativecommons.org/licenses/by-nc/3.0/,308.43,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/240/240558_3104050-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/240/240558_3104050-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/240/240558_3104050-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/240/240558_3104050-lq.ogg'}"
640370,https://freesound.org/people/szegvari/sounds/640370/,Storm surround 220701_0132.wav,"['City', 'Thunder', 'Travel', 'Environment', 'Free', 'Storm', 'Ambience', 'Public', 'Urban', 'Field-recording', 'Nature', 'Cars', 'Rain', 'Street', 'Road', 'Day', 'Natural', 'Night', 'Wind', 'Atmosphere', 'Ambiance', 'surround', 'Windy', 'Weather', 'Ambient', 'Sounds']",Storm surround,http://creativecommons.org/publicdomain/zero/1.0/,104.229,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/640/640370_2282212-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/640/640370_2282212-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/640/640370_2282212-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/640/640370_2282212-lq.ogg'}"
500805,https://freesound.org/people/khenshom/sounds/500805/,"Rainy day in city of Tel Aviv, Israel - light traffic","['outdoor', 'tone', 'people', 'street', 'sounds', 'city', 'rainy', 'winter', 'thunder', 'daytime', 'window', 'ambience', 'cars', 'rain', 'water', 'traffic', 'cement', 'day', 'room', 'light', 'drops', 'road']",Recorded from a third-floor room. Stood in the room about 3 feet (1 meter) from an open window. Outside there is rain and light city traffic. Recorded with Zoom H5 with its built-in stereo XY mics.,http://creativecommons.org/publicdomain/zero/1.0/,107.539,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/500/500805_6652872-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/500/500805_6652872-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/500/500805_6652872-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/500/500805_6652872-lq.ogg'}"
441835,https://freesound.org/people/humanoide9000/sounds/441835/,Thunder sound effect 3,"['water', 'explosion', 'field-recording', 'nature', 'thunder', 'thunderstorm', 'rain', 'lightning', 'shower', 'rolling-thunder', 'suburb', 'weather', 'storm', 'ambient', 'strike', 'thunder-storm', 'wind']",Thunder sounds recorded with Tascam DR 07 and remastered with Adobe Audition,https://creativecommons.org/licenses/by/4.0/,36.234,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/441/441835_4361321-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/441/441835_4361321-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/441/441835_4361321-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/441/441835_4361321-lq.ogg'}"
441836,https://freesound.org/people/humanoide9000/sounds/441836/,Thunder sound effect 2,"['water', 'explosion', 'field-recording', 'nature', 'thunder', 'thunderstorm', 'rain', 'lightning', 'shower', 'rolling-thunder', 'suburb', 'weather', 'storm', 'ambient', 'strike', 'thunder-storm', 'wind']",Thunder sound recorded with Tascam DR 07 and remastered with Adobe Audition,https://creativecommons.org/licenses/by/4.0/,18.2351,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/441/441836_4361321-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/441/441836_4361321-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/441/441836_4361321-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/441/441836_4361321-lq.ogg'}"
441837,https://freesound.org/people/humanoide9000/sounds/441837/,Thunder sound effect 1,"['water', 'rumble', 'explosion', 'field-recording', 'nature', 'drip', 'thunder', 'thunderstorm', 'rain', 'lightning', 'shower', 'rolling-thunder', 'suburb', 'weather', 'neighbourhood', 'storm', 'ambient', 'strike', 'thunder-storm', 'wind']",Thunder sound recorded with Tascam DR 07 and remastered with Adobe Audition,https://creativecommons.org/licenses/by/4.0/,10.6105,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/441/441837_4361321-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/441/441837_4361321-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/441/441837_4361321-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/441/441837_4361321-lq.ogg'}"
744722,https://freesound.org/people/Emulius/sounds/744722/,Thunder 07,"['thunderstorm', 'lightning', 'sound-design', 'nature', 'thunder-storm', 'field-recording', 'weather', 'storm', 'thunder']","Clear recording of single thunder sound during a small storm. I got very lucky when recording these since the rain had already passed but the thunder sounds could still be heard clearly in my back yard.

Recorded on the Zoom H5 using Zoom's SGH-6 shotgun mic capsule and a Sennheiser MKE 600 microphone. The two recordings have been panned left-right for a stereo sound and processed in Reaper to reduce noise and remove unwanted sounds such as bird chirps and wind while still preserving good audio quality.",http://creativecommons.org/publicdomain/zero/1.0/,8.848,"{'preview-hq-mp3': 'https://cdn.freesound.org/previews/744/744722_10934718-hq.mp3', 'preview-hq-ogg': 'https://cdn.freesound.org/previews/744/744722_10934718-hq.ogg', 'preview-lq-mp3': 'https://cdn.freesound.org/previews/744/744722_10934718-lq.mp3', 'preview-lq-ogg': 'https://cdn.freesound.org/previews/744/744722_10934718-lq.ogg'}"
